MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
24.2;15.1;8783;0.2;;87;;;3.48
25.5;13;10889;0.6;;90.6;;;3.84
25.8;13.2;11161;0;;93.8;;;3.95
26.6;12.7;10920;0;;97.2;;;3.96
25.4;15;6541;0;;92.4;;;2.88
27.8;18.8;7484;0;;97.5;;;3.02
27.3;17.9;8780;5.2;;97.8;;;3.21
25.3;15.2;8746;0;;90.1;;;3.38
25.5;13.9;10109;0;;90;;;3.64
24.5;12.4;6831;2.8;;97.3;;;2.78
23.4;18.5;5173;0.2;;84.7;;;2.64
23.7;13.3;9195;0;;92.7;;;2.83
25;11;10680;0;;97.4;;;3.85
25.3;11.7;10275;0;;93.4;;;3.87
25;12.4;9424;0;;87.5;;;3.61
25.3;13.1;8296;0;;86.8;;;3.35
27.8;15.4;9438;10;;98.2;;;3
25.4;14.9;6934;0.2;;92.4;;;2.6
25.5;16.4;6000;0;;96.5;;;2.5
25;16.9;4930;10.6;;97.4;;;2.2
21.1;17.5;2325;23;;97.6;;;1.43
23.9;14.8;6657;0;;97.3;;;2.24
22.6;13.6;6173;0;;97.3;;;1.97
25.3;13.2;6580;0.2;;97;;;3.12
26.2;17.7;7413;0;;97.3;;;3.25
26.1;12.9;7922;4;;97.2;;;3.31
21.6;15.9;4863;23.8;;97.2;;;1.51
20.4;11.3;5719;60;;97.5;;;2.21
15;11.6;1070;12.4;;95;;;1.6
17.5;11.8;2633;2.4;;95.3;;;1.72
18;12.2;2970;2.2;;97.4;;;1.79
15.7;11.9;1023;9.6;;97.7;;;1.32
19;12.8;3740;0;;87.7;;;1.91
19;11;5745;0;;93.8;;;2.23
18.8;7.9;4608;0.4;;97.5;;;2
18;13.3;2154;0;;91.6;;;1.73
17.9;12.3;3219;4;;97.3;;;1.89
15.9;10.3;2355;0;;97.4;;;0.94
16;10.6;2179;0;;96.5;;;1.69
16;10.9;3071;0;;97;;;1.62
18.1;8.2;5294;0;;97.4;;;2.04
18;9.2;4124;0.2;;97.4;;;1.8
15;10.9;1174;1.4;;97.5;;;0.91
14.6;11.5;843;2;;97.2;;;0.93
18.7;11.3;3480;1.2;;97.4;;;1.61
17.3;11.5;3305;16.7;;97.2;;;1.46
16.6;9;4104;0.4;;98;;;1.66
20.7;8;5398;0;;90.3;;;1.86
